Age;L;M;S;SD4neg;SD3neg;SD2neg;SD1neg;SD0;SD1;SD2;SD3;SD4
0;-0.3053;13.4069;0.0956;9.235;10.184;11.133;12.201;13.407;14.773;16.326;18.1;19.874
0.032854209;-0.1867;13.3976;0.09597;9.147;10.121;11.095;12.182;13.398;14.76;16.29;18.012;19.733
0.065708419;-0.0681;13.3883;0.09634;9.056;10.056;11.056;12.162;13.388;14.747;16.254;17.927;19.599
0.098562628;0.0505;13.3791;0.09672;8.961;9.988;11.015;12.143;13.379;14.734;16.219;17.845;19.472
0.131416838;0.169;13.3698;0.09709;8.861;9.918;10.974;12.123;13.37;14.721;16.185;17.767;19.349
0.164271047;0.2876;13.3606;0.09746;8.757;9.844;10.932;12.103;13.361;14.709;16.151;17.691;19.231
0.197125257;0.4062;13.3513;0.09784;8.647;9.768;10.889;12.083;13.351;14.696;16.118;17.618;19.118
0.229979466;0.5247;13.3421;0.09821;8.531;9.688;10.844;12.062;13.342;14.683;16.085;17.547;19.009
0.262833676;0.5094;13.3843;0.09769;8.594;9.744;10.895;12.108;13.384;14.723;16.125;17.588;19.052
0.295687885;0.4941;13.4265;0.09716;8.657;9.801;10.946;12.154;13.426;14.763;16.164;17.629;19.094
0.328542094;0.4789;13.4687;0.09664;8.719;9.858;10.996;12.2;13.469;14.803;16.203;17.67;19.136
0.361396304;0.4636;13.511;0.09611;8.782;9.914;11.047;12.246;13.511;14.843;16.243;17.71;19.177
0.394250513;0.4483;13.5532;0.09559;8.844;9.971;11.098;12.292;13.553;14.883;16.282;17.75;19.219
0.427104723;0.433;13.5954;0.09507;8.906;10.027;11.149;12.338;13.595;14.923;16.321;17.79;19.26
0.459958932;0.4177;13.6377;0.09454;8.969;10.084;11.2;12.384;13.638;14.963;16.36;17.83;19.3
0.492813142;0.4059;13.7174;0.09416;9.047;10.162;11.277;12.462;13.717;15.045;16.447;17.923;19.399
0.525667351;0.3946;13.8006;0.0938;9.126;10.241;11.357;12.543;13.801;15.132;16.539;18.021;19.504
0.558521561;0.3839;13.8854;0.09347;9.205;10.321;11.437;12.625;13.885;15.221;16.633;18.123;19.612
0.59137577;0.3735;13.9707;0.09315;9.283;10.4;11.517;12.707;13.971;15.31;16.728;18.225;19.721
0.624229979;0.3636;14.0558;0.09285;9.36;10.479;11.597;12.789;14.056;15.4;16.823;18.327;19.831
0.657084189;0.3541;14.1404;0.09257;9.436;10.556;11.676;12.87;14.14;15.489;16.918;18.429;19.94
0.689938398;0.3449;14.2241;0.0923;9.511;10.632;11.754;12.951;14.224;15.577;17.012;18.53;20.049
0.722792608;0.336;14.3065;0.09204;9.584;10.707;11.831;13.03;14.306;15.664;17.104;18.63;20.156
0.755646817;0.3274;14.3877;0.0918;9.656;10.781;11.906;13.107;14.388;15.75;17.196;18.729;20.262
0.788501027;0.3191;14.4675;0.09156;9.726;10.853;11.98;13.184;14.468;15.834;17.286;18.825;20.365
0.821355236;0.311;14.5457;0.09134;9.795;10.923;12.052;13.258;14.546;15.917;17.374;18.921;20.468
0.854209446;0.3032;14.6225;0.09112;9.862;10.992;12.123;13.332;14.622;15.998;17.461;19.014;20.568
