Age;L;M;S;SD4neg;SD3neg;SD2neg;SD1neg;SD0;SD1;SD2;SD3;SD4
0;1;33,8787;0,03496;29,141;30,326;31,51;32,694;33,879;35,063;36,247;37,432;38,616
0,032854209;1;33,975;0,03479;29,247;30,429;31,611;32,793;33,975;35,157;36,339;37,521;38,703
0,065708419;1;34,0714;0,03461;29,355;30,534;31,713;32,892;34,071;35,251;36,43;37,609;38,788
0,098562628;1;34,1677;0,03444;29,461;30,637;31,814;32,991;34,168;35,344;36,521;37,698;38,875
0,131416838;1;34,264;0,03426;29,568;30,742;31,916;33,09;34,264;35,438;36,612;37,786;38,96
0,164271047;1;34,3603;0,03409;29,675;30,846;32,018;33,189;34,36;35,532;36,703;37,874;39,046
0,197125257;1;34,4566;0,03391;29,783;30,951;32,12;33,288;34,457;35,625;36,793;37,962;39,13
0,229979466;1;34,5529;0,03374;29,89;31,055;32,221;33,387;34,553;35,719;36,885;38,05;39,216
0,262833676;1;34,6493;0,03356;29,998;31,161;32,324;33,486;34,649;35,812;36,975;38,138;39,301
0,295687885;1;34,7456;0,03339;30,105;31,265;32,425;33,585;34,746;35,906;37,066;38,226;39,386
0,328542094;1;34,8419;0,03321;30,214;31,371;32,528;33,685;34,842;35,999;37,156;38,313;39,47
0,361396304;1;34,9382;0,03304;30,321;31,475;32,629;33,784;34,938;36,093;37,247;38,401;39,556
0,394250513;1;35,0345;0,03286;30,43;31,581;32,732;33,883;35,034;36,186;37,337;38,488;39,639
0,427104723;1;35,1309;0,03269;30,537;31,686;32,834;33,982;35,131;36,279;37,428;38,576;39,725
0,459958932;1;35,2272;0,03251;30,646;31,791;32,937;34,082;35,227;36,372;37,518;38,663;39,808
0,492813142;1;35,3211;0,03248;30,732;31,879;33,027;34,174;35,321;36,468;37,616;38,763;39,91
0,525667351;1;35,413;0,03245;30,816;31,966;33,115;34,264;35,413;36,562;37,711;38,86;40,01
0,558521561;1;35,5028;0,03242;30,899;32,05;33,201;34,352;35,503;36,654;37,805;38,956;40,107
0,59137577;1;35,5906;0,03239;30,979;32,132;33,285;34,438;35,591;36,743;37,896;39,049;40,202
0,624229979;1;35,6766;0,03236;31,059;32,213;33,368;34,522;35,677;36,831;37,986;39,14;40,295
0,657084189;1;35,7607;0,03233;31,136;32,292;33,448;34,605;35,761;36,917;38,073;39,229;40,385
0,689938398;1;35,843;0,03231;31,211;32,369;33,527;34,685;35,843;37,001;38,159;39,317;40,475
0,722792608;1;35,9237;0,03228;31,285;32,445;33,604;34,764;35,924;37,083;38,243;39,403;40,562
0,755646817;1;36,0028;0,03226;31,357;32,518;33,68;34,841;36,003;37,164;38,326;39,487;40,649
0,788501027;1;36,0803;0,03223;31,429;32,592;33,755;34,917;36,08;37,243;38,406;39,569;40,732
0,821355236;1;36,1563;0,03221;31,498;32,663;33,827;34,992;36,156;37,321;38,485;39,65;40,815
0,854209446;1;36,2309;0,03219;31,566;32,732;33,898;35,065;36,231;37,397;38,563;39,73;40,896
0,887063655;1;36,3042;0,03217;31,633;32,8;33,968;35,136;36,304;37,472;38,64;39,808;40,976
0,919917864;1;36,3761;0,03215;31,698;32,868;34,037;35,207;36,376;37,546;38,715;39,885;41,054
0,952772074;1;36,4468;0,03213;31,763;32,934;34,105;35,276;36,447;37,618;38,789;39,96;41,131
0,985626283;1;36,5163;0,03211;31,826;32,999;34,171;35,344;36,516;37,689;38,861;40,034;41,206
1,018480493;1;36,5846;0,03209;31,889;33,063;34,237;35,411;36,585;37,759;38,933;40,107;41,281
1,051334702;1;36,6519;0,03207;31,95;33,126;34,301;35,476;36,652;37,827;39,003;40,178;41,354
1,084188912;1;36,718;0,03206;32,009;33,186;34,364;35,541;36,718;37,895;39,072;40,25;41,427
1,117043121;1;36,7831;0,03204;32,069;33,248;34,426;35,605;36,783;37,962;39,14;40,319;41,497
1,149897331;1;36,8472;0,03202;32,128;33,308;34,488;35,667;36,847;38,027;39,207;40,387;41,567
1,18275154;1;36,9104;0,032;32,186;33,367;34,548;35,729;36,91;38,092;39,273;40,454;41,635
1,215605749;1;36,9726;0,03199;32,242;33,424;34,607;35,79;36,973;38,155;39,338;40,521;41,704
1,248459959;1;37,034;0,03197;32,298;33,482;34,666;35,85;37,034;38,218;39,402;40,586;41,77
1,281314168;1;37,0945;0,03196;32,352;33,538;34,723;35,909;37,094;38,28;39,466;40,651;41,837
1,314168378;1;37,1541;0,03194;32,407;33,594;34,781;35,967;37,154;38,341;39,528;40,714;41,901
1,347022587;1;37,213;0,03193;32,46;33,648;34,837;36,025;37,213;38,401;39,589;40,778;41,966
1,379876797;1;37,2711;0,03191;32,514;33,703;34,892;36,082;37,271;38,46;39,65;40,839;42,028
1,412731006;1;37,3284;0,0319;32,565;33,756;34,947;36,138;37,328;38,519;39,71;40,901;42,092
1,445585216;1;37,3851;0,03188;32,618;33,81;35,001;36,193;37,385;38,577;39,769;40,961;42,152
1,478439425;1;37,4411;0,03187;32,668;33,861;35,055;36,248;37,441;38,634;39,828;41,021;42,214
1,511293634;1;37,4964;0,03186;32,718;33,912;35,107;36,302;37,496;38,691;39,886;41,08;42,275
1,544147844;1;37,551;0,03184;32,769;33,964;35,16;36,355;37,551;38,747;39,942;41,138;42,333
1,577002053;1;37,605;0,03183;32,817;34,014;35,211;36,408;37,605;38,802;39,999;41,196;42,393
1,609856263;1;37,6584;0,03182;32,865;34,064;35,262;36,46;37,658;38,857;40,055;41,253;42,452
1,642710472;1;37,7112;0,0318;32,914;34,114;35,313;36,512;37,711;38,91;40,11;41,309;42,508
1,675564682;1;37,7635;0,03179;32,961;34,162;35,362;36,563;37,764;38,964;40,165;41,365;42,566
