Age;L;M;S;SD4neg;SD3neg;SD2neg;SD1neg;SD0;SD1;SD2;SD3;SD4
0;0.3809;3.2322;0.14171;1.671;2.033;2.395;2.794;3.232;3.711;4.23;4.793;5.356
0.032854209;0.3259;3.1957;0.14578;1.635;1.994;2.352;2.752;3.196;3.685;4.222;4.81;5.398
0.065708419;0.3101;3.2104;0.14637;1.643;2.002;2.362;2.764;3.21;3.704;4.249;4.846;5.443
0.098562628;0.2986;3.2315;0.14657;1.656;2.017;2.378;2.782;3.232;3.73;4.28;4.885;5.489
0.131416838;0.2891;3.2558;0.14658;1.672;2.034;2.397;2.803;3.256;3.758;4.314;4.925;5.537
0.164271047;0.281;3.2821;0.14646;1.689;2.053;2.418;2.826;3.282;3.789;4.349;4.967;5.585
0.197125257;0.2737;3.3099;0.14626;1.708;2.074;2.44;2.851;3.31;3.82;4.386;5.009;5.633
0.229979466;0.2671;3.3388;0.146;1.727;2.096;2.464;2.877;3.339;3.853;4.423;5.052;5.682
0.262833676;0.2609;3.3687;0.14569;1.748;2.118;2.488;2.904;3.369;3.887;4.461;5.096;5.731
0.295687885;0.2551;3.3995;0.14534;1.769;2.141;2.513;2.932;3.4;3.921;4.5;5.14;5.78
0.328542094;0.2497;3.4314;0.14498;1.791;2.165;2.54;2.96;3.431;3.957;4.54;5.186;5.831
0.361396304;0.2446;3.4643;0.14459;1.814;2.19;2.567;2.99;3.464;3.993;4.581;5.232;5.883
0.394250513;0.2397;3.4983;0.1442;1.837;2.216;2.595;3.021;3.498;4.031;4.623;5.28;5.936
0.427104723;0.2349;3.5333;0.1438;1.861;2.242;2.623;3.052;3.533;4.07;4.667;5.329;5.991
0.459958932;0.2304;3.5693;0.14339;1.885;2.269;2.653;3.085;3.569;4.11;4.712;5.379;6.047
0.492813142;0.226;3.6063;0.14299;1.91;2.297;2.683;3.118;3.606;4.151;4.758;5.431;6.104
0.525667351;0.2218;3.6438;0.14258;1.935;2.325;2.714;3.152;3.644;4.193;4.804;5.483;6.162
0.558521561;0.2177;3.6818;0.14218;1.961;2.353;2.745;3.187;3.682;4.235;4.852;5.536;6.221
0.59137577;0.2137;3.7201;0.14177;1.987;2.382;2.777;3.221;3.72;4.278;4.899;5.589;6.279
0.624229979;0.2099;3.7584;0.14138;2.013;2.41;2.808;3.256;3.758;4.32;4.946;5.642;6.338
0.657084189;0.2061;3.7968;0.14098;2.039;2.439;2.84;3.291;3.797;4.363;4.994;5.695;6.397
0.689938398;0.2024;3.8352;0.1406;2.064;2.468;2.871;3.325;3.835;4.406;5.042;5.749;6.456
0.722792608;0.1989;3.8735;0.14021;2.09;2.496;2.903;3.36;3.874;4.448;5.089;5.802;6.514
0.755646817;0.1954;3.9116;0.13984;2.116;2.525;2.934;3.395;3.912;4.49;5.136;5.854;6.572
0.788501027;0.1919;3.9495;0.13947;2.142;2.553;2.965;3.429;3.95;4.532;5.183;5.906;6.63
0.821355236;0.1886;3.9872;0.1391;2.167;2.582;2.996;3.463;3.987;4.574;5.229;5.958;6.687
0.854209446;0.1853;4.0247;0.13875;2.193;2.61;3.027;3.497;4.025;4.616;5.275;6.01;6.745
0.887063655;0.1821;4.0618;0.1384;2.218;2.638;3.058;3.531;4.062;4.657;5.321;6.061;6.801
0.919917864;0.1789;4.0987;0.13805;2.243;2.665;3.088;3.564;4.099;4.698;5.366;6.112;6.857
0.952772074;0.1758;4.1353;0.13771;2.268;2.693;3.118;3.597;4.135;4.738;5.411;6.162;6.912
0.985626283;0.1727;4.1716;0.13738;2.293;2.72;3.148;3.63;4.172;4.778;5.456;6.212;6.967
1.018480493;0.1697;4.2075;0.13706;2.317;2.747;3.178;3.663;4.208;4.818;5.5;6.261;7.022
1.051334702;0.1668;4.2431;0.13674;2.341;2.774;3.207;3.695;4.243;4.857;5.544;6.31;7.075
1.084188912;0.1638;4.2783;0.13643;2.365;2.801;3.236;3.727;4.278;4.896;5.587;6.358;7.129
1.117043121;0.161;4.3131;0.13613;2.389;2.827;3.265;3.758;4.313;4.935;5.63;6.406;7.181
1.149897331;0.1582;4.3476;0.13583;2.413;2.853;3.294;3.79;4.348;4.973;5.672;6.453;7.233
1.18275154;0.1554;4.3818;0.13554;2.436;2.879;3.322;3.821;4.382;5.011;5.714;6.5;7.285
1.215605749;0.1526;4.4155;0.13526;2.459;2.904;3.35;3.851;4.416;5.048;5.756;6.546;7.336
1.248459959;0.1499;4.449;0.13498;2.482;2.93;3.377;3.882;4.449;5.085;5.797;6.592;7.386
1.281314168;0.1473;4.482;0.1347;2.505;2.955;3.405;3.912;4.482;5.122;5.837;6.637;7.436
1.314168378;0.1446;4.5148;0.13444;2.527;2.98;3.432;3.942;4.515;5.158;5.878;6.682;7.486
1.347022587;0.142;4.5472;0.13418;2.55;3.004;3.459;3.971;4.547;5.194;5.917;6.726;7.534
1.379876797;0.1395;4.5793;0.13392;2.572;3.029;3.485;4;4.579;5.229;5.957;6.77;7.583
1.412731006;0.1369;4.611;0.13367;2.594;3.053;3.512;4.029;4.611;5.264;5.995;6.813;7.631
1.445585216;0.1344;4.6425;0.13342;2.615;3.077;3.538;4.058;4.642;5.299;6.034;6.856;7.678
